[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	train cost(potential)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)	valid. cost(potential)
[LOG]	35	18.5084	19.2417	0.9	0.1	0.5	0.022214547	0.022653094	1.8185112	0.18881534	1.8091823	32.546104	1.8284333	0.1905271	1.8187494	33.987797
[LOG]	36	15.9209	20.5113	0.9	0.1	0.5	0.022235692	0.022644902	1.8189391	0.18230061	1.807759	27.38253	1.8278074	0.18773209	1.8173336	36.53389
[LOG]	37	17.7968	12.7284	0.9	0.1	0.5	0.022230292	0.02268069	1.8189154	0.17085	1.8081218	31.155268	1.8288449	0.1734516	1.8188308	20.99162
[LOG]	38	16.2495	17.769	0.9	0.1	0.5	0.02221334	0.022665765	1.8182951	0.16669887	1.8081111	28.06957	1.8285469	0.16773075	1.8174335	31.084488
[LOG]	39	16.9916	15.7563	0.9	0.1	0.5	0.02221782	0.022700164	1.8185663	0.16169058	1.8081969	29.562588	1.8290974	0.16375494	1.8194197	27.06504
[LOG]	40	16.0693	15.061	0.9	0.1	0.5	0.02222767	0.022632906	1.8187425	0.15905836	1.8073683	27.722961	1.8278984	0.15835689	1.8156925	25.687597
[LOG]	41	20.09	20.4043	0.9	0.1	0.5	0.022215968	0.022658026	1.8185463	0.15767337	1.8067083	35.767704	1.8287027	0.16302253	1.8176616	36.364235
[LOG]	42	12.4862	21.7753	0.9	0.1	0.5	0.022209106	0.022659702	1.8182886	0.15234745	1.8078548	20.570267	1.8276519	0.15784226	1.8174895	39.118042
[LOG]	43	17.5034	12.3461	0.9	0.1	0.5	0.022232754	0.022685835	1.8188394	0.15064064	1.806906	30.607227	1.829083	0.15219182	1.8183903	20.267187
[LOG]	44	15.5686	16.1243	0.9	0.1	0.5	0.022244448	0.022660093	1.8191632	0.14797258	1.8077264	26.742077	1.8285908	0.14791068	1.8163894	27.832937
[LOG]	45	14.8903	15.5194	0.9	0.1	0.5	0.022242308	0.022663925	1.8190247	0.15145028	1.8065718	25.379854	1.8288126	0.15068816	1.8161756	26.618034
[LOG]	46	15.408	15.3104	0.9	0.1	0.5	0.022234559	0.022617161	1.8188144	0.14325777	1.8072492	26.430645	1.8274933	0.14895268	1.8175082	26.205694
[LOG]	47	15.3094	13.336	0.9	0.1	0.5	0.022213416	0.022699418	1.8182548	0.1446095	1.8071796	26.232334	1.8288203	0.14171228	1.8179456	22.267588
[LOG]	48	13.4686	13.2758	0.9	0.1	0.5	0.02219902	0.022659702	1.8179415	0.14336683	1.8074908	22.553888	1.8279772	0.14222112	1.8169006	22.148394
[LOG]	49	13.6323	11.2317	0.9	0.1	0.5	0.022226939	0.022641191	1.8183343	0.14165474	1.8086597	22.883596	1.8277603	0.13838547	1.8171685	18.067778
[LOG]	50	13.8299	11.765	0.9	0.1	0.5	0.022257643	0.022663007	1.8192718	0.13752204	1.8076624	23.284878	1.8282787	0.14341182	1.8175783	19.124502
[LOG]	51	13.2081	10.0224	0.9	0.1	0.5	0.022259612	0.022757249	1.8193661	0.13464206	1.8080585	22.04655	1.8308418	0.13851598	1.818199	15.643194
[LOG]	52	13.2227	9.59102	0.9	0.1	0.5	0.022235855	0.02263903	1.8186657	0.13460025	1.8071414	22.077524	1.828169	0.13481411	1.8178699	14.79272
[LOG]	53	13.552	14.3573	0.9	0.1	0.5	0.02224254	0.022687547	1.8189721	0.13589986	1.8074123	22.733452	1.8288609	0.13777554	1.8165839	24.31902
[LOG]	54	12.5309	14.749	0.9	0.1	0.5	0.022217726	0.022727132	1.8182999	0.13705857	1.8080621	20.69062	1.830174	0.13150585	1.8174695	25.1112
[LOG]	55	12.955	10.0907	0.9	0.1	0.5	0.022257453	0.022600649	1.8191763	0.13325836	1.8071958	21.544374	1.8271172	0.132448	1.8159125	15.799616
[LOG]	56	12.2031	13.8404	0.9	0.1	0.5	0.022214355	0.022660695	1.8182279	0.13536239	1.8095332	20.038372	1.8285099	0.13549517	1.816502	23.290833
[LOG]	57	12.8542	10.0803	0.9	0.1	0.5	0.022253346	0.022597166	1.8190405	0.13328177	1.8098593	21.342905	1.8268106	0.13418345	1.8191383	15.776045
[LOG]	58	10.1619	8.99883	0.9	0.1	0.5	0.022198834	0.022660706	1.8177799	0.13138708	1.8083655	15.964855	1.8282869	0.13755755	1.818454	13.604576
[LOG]	59	11.5511	19.9889	0.9	0.1	0.5	0.02220398	0.022660434	1.818023	0.13371167	1.8065735	18.7391	1.8283962	0.12675339	1.8161528	35.604637
[LOG]	60	11.9734	11.6736	0.9	0.1	0.5	0.022249557	0.022768185	1.8192374	0.13265917	1.8079517	19.58312	1.8306507	0.12984198	1.818143	18.963678
[LOG]	61	10.8407	10.06	0.9	0.1	0.5	0.022219488	0.022581128	1.8182383	0.12829871	1.8073086	17.327972	1.8264328	0.12483432	1.8163695	15.754644
[LOG]	62	11.1868	15.5177	0.9	0.1	0.5	0.022218425	0.02261119	1.8184494	0.1266572	1.8070134	18.022987	1.8271755	0.12486982	1.8162705	26.66873
[LOG]	63	14.2592	11.6923	0.9	0.1	0.5	0.022209642	0.022778755	1.8180841	0.1238934	1.8086519	24.173489	1.8306943	0.12599975	1.8182569	19.008648
[LOG]	64	11.2992	10.9546	0.9	0.1	0.5	0.022208605	0.022690162	1.8179882	0.12482456	1.8074118	18.252457	1.8289979	0.12604664	1.8185881	17.536682
[LOG]	65	10.6685	15.6525	0.9	0.1	0.5	0.02222318	0.02257085	1.8183844	0.12534866	1.8080026	16.989426	1.825893	0.12526482	1.8173932	26.940708
[LOG]	66	11.6003	8.27579	0.9	0.1	0.5	0.022226673	0.022680692	1.818392	0.12599875	1.8090065	18.851934	1.8285908	0.12461981	1.8190421	12.182956
[LOG]	67	13.0886	13.3419	0.9	0.1	0.5	0.022211503	0.022674339	1.8178871	0.12369803	1.810488	21.833698	1.8284011	0.12356672	1.8203976	22.317467
[LOG]	68	8.61455	18.6348	0.9	0.1	0.5	0.022199169	0.022613732	1.8179017	0.12428794	1.8087691	12.885223	1.8271873	0.12266824	1.8175772	32.9083
[LOG]	69	11.9027	7.38135	0.9	0.1	0.5	0.022184843	0.022643909	1.8174658	0.12395327	1.8067949	19.46383	1.8281654	0.12516817	1.8180628	10.395219
[LOG]	70	10.4687	16.6275	0.9	0.1	0.5	0.022174189	0.022597015	1.8172688	0.11980843	1.807688	16.603718	1.8266916	0.12464656	1.8173516	28.891945
[LOG]	71	10.4072	12.8209	0.9	0.1	0.5	0.022190623	0.022681702	1.8176031	0.11980227	1.808565	16.480162	1.8286209	0.1179468	1.820002	21.286676
[LOG]	72	12.6258	18.404	0.9	0.1	0.5	0.022161584	0.022697901	1.8169732	0.12098605	1.808645	20.916742	1.8290205	0.11965387	1.8204721	32.449104
[LOG]	73	11.0311	11.1177	0.9	0.1	0.5	0.022224715	0.022651894	1.8181808	0.12037707	1.8084308	17.726494	1.8278826	0.12048256	1.8185754	17.87806
[LOG]	74	10.6435	17.9534	0.9	0.1	0.5	0.022196516	0.022573132	1.8176647	0.1233713	1.8088913	16.946968	1.8261153	0.118382394	1.8176917	31.557184
[LOG]	75	12.6079	8.47091	0.9	0.1	0.5	0.022173518	0.022662664	1.817132	0.11818507	1.8071625	20.88685	1.8282508	0.118924685	1.817828	12.587072
[LOG]	76	8.73063	10.3622	0.9	0.1	0.5	0.022178132	0.022643363	1.8173685	0.11908069	1.8078973	13.130144	1.8275737	0.11624477	1.8182667	16.375832
[LOG]	77	11.712	13.8181	0.9	0.1	0.5	0.022211151	0.022654746	1.8177464	0.11894363	1.8090672	19.092266	1.8275604	0.11663257	1.8206084	23.286871
[LOG]	78	10.7239	7.00263	0.9	0.1	0.5	0.022227759	0.022530014	1.8181769	0.12185409	1.8102756	17.11001	1.8250403	0.12312466	1.8197012	9.6495495
[LOG]	79	11.1823	11.7471	0.9	0.1	0.5	0.022194145	0.022601712	1.8176947	0.12027706	1.8101834	18.0309	1.826622	0.1222087	1.8167543	19.137758
