[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	104.465	121.009	0.7	0.8	0	0.066090256	0.06288864	56.009487	1.8306983	58.87987	52.05671	1.8195175	84.51061
[LOG]	1	7.07491	6.95709	0.7	0.8	0	0.030732343	0.029500289	3.0700388	1.9056485	3.2518506	2.9733493	1.9020299	3.228606
[LOG]	2	5.40508	5.39694	0.7	0.8	0	0.025978027	0.025443738	2.096793	1.9354137	2.3561366	2.0780401	1.9412624	2.3642828
[LOG]	3	5.09582	5.07214	0.7	0.8	0	0.027179198	0.026788317	2.008633	1.9389702	2.077486	1.9957325	1.9271277	2.0743787
[LOG]	4	4.98638	4.97109	0.7	0.8	0	0.029134843	0.029021306	2.0043702	1.9318973	1.9529074	2.0017245	1.9186909	1.9486591
[LOG]	5	4.93415	4.94091	0.7	0.8	0	0.030471016	0.03081612	2.0067968	1.907619	1.9064496	2.0129814	1.9160161	1.8998191
[LOG]	6	4.90881	4.90062	0.7	0.8	0	0.03127647	0.031308208	2.0057738	1.8904369	1.8916773	2.0056987	1.8819941	1.888923
[LOG]	7	4.88705	4.88531	0.7	0.8	0	0.03147939	0.031669527	2.00104	1.8640509	1.8940692	2.004359	1.8741688	1.8788977
[LOG]	8	4.85266	4.85086	0.7	0.8	0	0.030749585	0.03094417	1.9830531	1.8408303	1.8945156	1.9840081	1.8444114	1.8879387
[LOG]	9	4.82054	4.81457	0.7	0.8	0	0.030232692	0.030619306	1.969955	1.8166766	1.8925083	1.9736873	1.816508	1.880521
[LOG]	10	4.78288	4.77224	0.7	0.8	0	0.029366104	0.029369473	1.9537143	1.7871187	1.8922174	1.9507428	1.7887987	1.8811581
[LOG]	11	4.74572	4.74398	0.7	0.8	0	0.028735958	0.028917184	1.9406428	1.7582183	1.8879923	1.9424951	1.757536	1.8841051
[LOG]	12	4.71393	4.70655	0.7	0.8	0	0.027996419	0.02786007	1.9284561	1.7353848	1.8840294	1.9239196	1.7380676	1.8781222
[LOG]	13	4.67833	4.67688	0.7	0.8	0	0.027240813	0.027480936	1.9160483	1.7028416	1.884017	1.919099	1.7092475	1.872793
[LOG]	14	4.64317	4.64503	0.7	0.8	0	0.026570091	0.026701147	1.9048196	1.6754041	1.8785939	1.9059753	1.6844127	1.8715863
[LOG]	15	4.61617	4.5955	0.7	0.8	0	0.026161527	0.025720173	1.8994321	1.6474662	1.8764576	1.8895102	1.6400809	1.8694834
[LOG]	16	4.58098	4.57049	0.7	0.8	0	0.025540156	0.025718793	1.8879791	1.6179225	1.8730423	1.89014	1.6133819	1.8612046
[LOG]	17	4.55362	4.53932	0.7	0.8	0	0.025231495	0.024960553	1.8838933	1.5909476	1.867945	1.8769118	1.5899229	1.8596904
[LOG]	18	4.52286	4.50304	0.7	0.8	0	0.024822902	0.024455274	1.8779014	1.5594628	1.8648994	1.8685601	1.5557247	1.8550766
[LOG]	19	4.49586	4.48499	0.7	0.8	0	0.024587972	0.024481017	1.8728174	1.5320874	1.8618367	1.8693734	1.5278722	1.8562367
[LOG]	20	4.47334	4.45227	0.7	0.8	0	0.02442607	0.023978066	1.8716347	1.5040257	1.8600895	1.8610907	1.4999036	1.8505435
[LOG]	21	4.45005	4.42986	0.7	0.8	0	0.02418952	0.023893703	1.8678037	1.4785051	1.8584632	1.8602579	1.4720712	1.8482957
[LOG]	22	4.42075	4.40461	0.7	0.8	0	0.023984686	0.023426933	1.8641422	1.4435265	1.8573936	1.8522258	1.452536	1.8442339
[LOG]	23	4.40397	4.38048	0.7	0.8	0	0.024013048	0.023437448	1.8656911	1.4211878	1.8543904	1.852585	1.4153999	1.8464786
[LOG]	24	4.38279	4.36385	0.7	0.8	0	0.023804003	0.023486657	1.8613026	1.3976048	1.8543991	1.8561336	1.3895	1.8442668
[LOG]	25	4.36046	4.33986	0.7	0.8	0	0.023709936	0.023339866	1.8596618	1.3738775	1.849628	1.8526355	1.3653842	1.8401026
[LOG]	26	4.33758	4.31464	0.7	0.8	0	0.023682363	0.023013229	1.8597283	1.3422678	1.8489237	1.8472363	1.3387319	1.8389641
[LOG]	27	4.31575	4.3019	0.7	0.8	0	0.023697441	0.02312959	1.8597162	1.31543	1.8454396	1.8498393	1.3175839	1.8385957
[LOG]	28	4.29232	4.28568	0.7	0.8	0	0.023559432	0.023047505	1.8570487	1.2875638	1.8441757	1.8479359	1.2967598	1.8392123
[LOG]	29	4.27755	4.26532	0.7	0.8	0	0.023507146	0.023055196	1.8570262	1.2675844	1.8435129	1.8474289	1.2723839	1.836018
[LOG]	30	4.25438	4.24057	0.7	0.8	0	0.02344288	0.022982689	1.8552207	1.2383934	1.8426328	1.8449142	1.2463397	1.8312935
[LOG]	31	4.23705	4.2171	0.7	0.8	0	0.023467924	0.022971148	1.8564984	1.2142562	1.8407645	1.8449827	1.2154502	1.8291837
[LOG]	32	4.21794	4.19645	0.7	0.8	0	0.023397207	0.02287753	1.8537747	1.1916761	1.8403201	1.8443664	1.1861813	1.8300215
[LOG]	33	4.19523	4.18167	0.7	0.8	0	0.023309901	0.022906711	1.8522393	1.1648918	1.8375695	1.8444885	1.1645694	1.8305869
[LOG]	34	4.18118	4.16076	0.7	0.8	0	0.02335511	0.02269746	1.8542304	1.1442581	1.8358166	1.8407989	1.1463987	1.8252128
[LOG]	35	4.16356	4.14252	0.7	0.8	0	0.023324532	0.022711532	1.8526874	1.1202424	1.8369701	1.8400362	1.1190219	1.8275533
[LOG]	36	4.14461	4.12713	0.7	0.8	0	0.023237856	0.022827355	1.8515575	1.0978678	1.8344946	1.8437146	1.0919995	1.8275816
[LOG]	37	4.12877	4.10804	0.7	0.8	0	0.02324578	0.022710824	1.851266	1.0744989	1.8357295	1.8406523	1.0715988	1.8256236
[LOG]	38	4.11171	4.09597	0.7	0.8	0	0.023274101	0.022626031	1.8518157	1.0522841	1.8333708	1.8390758	1.0538965	1.8282101
[LOG]	39	4.09546	4.07892	0.7	0.8	0	0.023176542	0.022727203	1.8500051	1.0305325	1.8345704	1.8406043	1.0281543	1.8277246
[LOG]	40	4.08119	4.06587	0.7	0.8	0	0.023186421	0.022764115	1.8505191	1.0113854	1.8330393	1.8424008	1.0111572	1.8242301
[LOG]	41	4.06059	4.05105	0.7	0.8	0	0.023139708	0.022704057	1.848375	0.9833562	1.8346831	1.8417529	0.9935	1.8221604
[LOG]	42	4.04989	4.02263	0.7	0.8	0	0.023190547	0.022627808	1.8499742	0.96653587	1.8342309	1.8367515	0.96034944	1.8220919
[LOG]	43	4.03526	4.01357	0.7	0.8	0	0.02310476	0.022601688	1.847882	0.94980544	1.8333755	1.8378656	0.94169295	1.8258868
[LOG]	44	4.01917	4.00288	0.7	0.8	0	0.02305312	0.022481197	1.8465308	0.92793536	1.8342825	1.8346512	0.93050057	1.826523
[LOG]	45	4.01039	3.99196	0.7	0.8	0	0.0230671	0.022574771	1.84732	0.9142296	1.8345075	1.8379602	0.91235685	1.82481
[LOG]	46	3.99736	3.97748	0.7	0.8	0	0.023073854	0.022530902	1.8470007	0.8967001	1.8341393	1.8363987	0.8914554	1.827126
[LOG]	47	3.98712	3.96878	0.7	0.8	0	0.023064656	0.022501001	1.8477921	0.88169324	1.8336467	1.8360825	0.88150764	1.825512
[LOG]	48	3.97425	3.96022	0.7	0.8	0	0.02301102	0.022538533	1.8458999	0.86592376	1.8338646	1.8371178	0.86883265	1.824767
[LOG]	49	3.96288	3.94854	0.7	0.8	0	0.023012556	0.022446312	1.8457106	0.8507199	1.8333408	1.8343058	0.85319734	1.827514
[LOG]	50	3.95276	3.93709	0.7	0.8	0	0.023005275	0.022512795	1.8456289	0.8357579	1.8340476	1.8345965	0.8402535	1.8243169
[LOG]	51	3.94338	3.92578	0.7	0.8	0	0.022982998	0.022433935	1.8449619	0.8245301	1.8331419	1.832542	0.82758784	1.8239963
