[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)
[LOG]	0	19.0453	19.1149	0	0	0	0.16843434	0.16709135	18.971153	354.65448	5.714406	19.040764	342.32626	5.777544
[LOG]	1	5.8856	6.08124	0	0	0	0.10128555	0.102784626	5.8123198	226.55754	3.1387122	6.007963	209.26244	3.1679227
[LOG]	2	3.60475	3.61888	0	0	0	0.06420834	0.06475431	3.5319116	164.88098	3.0717802	3.5460436	154.12895	3.0591562
[LOG]	3	2.89689	2.89049	0	0	0	0.05099048	0.050862197	2.82433	118.71687	4.0286546	2.8179224	114.46004	3.9307923
[LOG]	4	2.66006	2.60668	0	0	0	0.05014137	0.04897564	2.587846	88.52037	4.902085	2.5344677	88.021774	4.9078436
[LOG]	5	2.54817	2.5448	0	0	0	0.051851746	0.05157055	2.4764533	69.06345	5.017496	2.4730854	68.05858	4.983093
[LOG]	6	2.49463	2.48736	0	0	0	0.051868774	0.051815424	2.4235375	54.677345	4.5176067	2.4162683	54.853497	4.572895
[LOG]	7	2.41446	2.41746	0	0	0	0.04860794	0.048987392	2.344062	44.167706	3.7057137	2.3470619	43.92665	3.6966355
[LOG]	8	2.37477	2.38278	0	0	0	0.0463406	0.04670197	2.3050673	36.491295	3.0145354	2.3130789	36.886227	3.0044062
[LOG]	9	2.35003	2.35016	0	0	0	0.045030173	0.044761345	2.280986	30.71167	2.5352702	2.2811112	31.10817	2.5338902
[LOG]	10	2.32779	2.32793	0	0	0	0.044069517	0.043565884	2.2593443	26.381662	2.2691216	2.2594929	26.197914	2.261744
[LOG]	11	2.305	2.30092	0	0	0	0.04339297	0.04331935	2.2371345	22.976334	2.1428876	2.2330604	22.992176	2.1442475
[LOG]	12	2.27705	2.27195	0	0	0	0.04172812	0.041074425	2.209742	19.96296	2.0851524	2.2046413	20.008116	2.0905468
[LOG]	13	2.25505	2.24944	0	0	0	0.04032818	0.040018905	2.1882775	17.693317	2.074596	2.1826677	17.79582	2.0729172
[LOG]	14	2.22167	2.22705	0	0	0	0.038750082	0.038914606	2.155435	15.777616	2.0768316	2.1608083	15.745774	2.0684335
[LOG]	15	2.21304	2.21334	0	0	0	0.038316417	0.038321745	2.1473255	14.058612	2.0717053	2.147624	14.064008	2.0714755
[LOG]	16	2.18875	2.2083	0	0	0	0.036770355	0.037891597	2.1235697	12.618137	2.0535827	2.1431243	12.636491	2.0547974
[LOG]	17	2.17514	2.17905	0	0	0	0.036052596	0.036294177	2.110496	11.448347	2.0338671	2.1144125	11.390652	2.0333457
[LOG]	18	2.15987	2.16213	0	0	0	0.03514223	0.035030648	2.0957618	10.36823	2.0151467	2.098015	10.345168	2.0157418
[LOG]	19	2.14332	2.1378	0	0	0	0.033963945	0.03347064	2.0797172	9.437739	2.0013924	2.07419	9.454372	2.003381
[LOG]	20	2.13536	2.12551	0	0	0	0.033666838	0.033003047	2.0722497	8.702648	1.9900225	2.0623956	8.662011	1.987298
[LOG]	21	2.11275	2.11844	0	0	0	0.03213253	0.03223466	2.0501144	7.994603	1.9830076	2.055797	7.9940467	1.986775
[LOG]	22	2.09752	2.09957	0	0	0	0.03131701	0.03155543	2.0353384	7.4063983	1.9755803	2.037393	7.440818	1.9796987
[LOG]	23	2.08619	2.09367	0	0	0	0.030752163	0.031069033	2.0244665	6.9153204	1.9717134	2.031946	6.8903484	1.9746857
[LOG]	24	2.07399	2.0705	0	0	0	0.030042822	0.029713545	2.012704	6.4747663	1.9698259	2.0092144	6.4581776	1.9693336
[LOG]	25	2.06385	2.06411	0	0	0	0.029480398	0.029446995	2.0029986	6.057898	1.9630754	2.0032601	6.0684414	1.9688294
[LOG]	26	2.05093	2.05183	0	0	0	0.028637024	0.028608764	1.9905062	5.721244	1.9560834	1.991399	5.7190633	1.953589
[LOG]	27	2.04143	2.04566	0	0	0	0.028078161	0.028466728	1.9814187	5.410104	1.9526619	1.9856476	5.404944	1.9544376
[LOG]	28	2.03121	2.03033	0	0	0	0.02738238	0.027466113	1.9716023	5.13497	1.9475951	1.9707198	5.1380224	1.9524436
[LOG]	29	2.02188	2.02751	0	0	0	0.026743397	0.027232375	1.9626682	4.890753	1.9438144	1.9683037	4.8969545	1.9473892
[LOG]	30	2.01801	2.01979	0	0	0	0.026561676	0.026754227	1.9591937	4.6656475	1.9386653	1.960969	4.668437	1.9375787
[LOG]	31	2.00781	2.01044	0	0	0	0.025913727	0.025965597	1.9493763	4.4689627	1.9355438	1.9520042	4.4648733	1.9371125
[LOG]	32	2.0018	2.0015	0	0	0	0.025564706	0.025422622	1.9437456	4.2946987	1.93087	1.9434475	4.2944636	1.9289067
[LOG]	33	1.99585	1.99056	0	0	0	0.02524228	0.024948657	1.938168	4.136692	1.9262936	1.9328803	4.1271305	1.9276103
[LOG]	34	1.98862	1.99153	0	0	0	0.024678182	0.02494341	1.9313039	3.98725	1.9248828	1.9342166	3.989021	1.927346
[LOG]	35	1.98739	1.98371	0	0	0	0.024533203	0.024458017	1.9304303	3.8550138	1.9207165	1.9267503	3.8586023	1.9215555
[LOG]	36	1.9798	1.97622	0	0	0	0.024108257	0.023980608	1.9231939	3.7378755	1.9174091	1.9196144	3.7294898	1.9197717
[LOG]	37	1.97415	1.97371	0	0	0	0.02387116	0.023737319	1.9178828	3.6268072	1.9154776	1.9174496	3.6280375	1.9173579
[LOG]	38	1.97283	1.97312	0	0	0	0.02371907	0.023647718	1.9169232	3.5255244	1.9128065	1.9172076	3.525989	1.9111835
[LOG]	39	1.96799	1.96993	0	0	0	0.023473388	0.02363553	1.9124222	3.4362473	1.9099607	1.914361	3.4385726	1.911465
[LOG]	40	1.96436	1.96647	0	0	0	0.023356443	0.023454852	1.9091344	3.3497725	1.9097728	1.911252	3.3546917	1.9112285
[LOG]	41	1.96408	1.96394	0	0	0	0.023283312	0.023431899	1.9092003	3.2708368	1.9055657	1.9090651	3.2672987	1.9067569
